,Season,Team,C,F1,F2,G1,G2
0,2015.0,1,Marc Gasol,Anthony Davis,LeBron James,James Harden,Stephen Curry
1,2015.0,2,Pau Gasol,DeMarcus Cousins,LaMarcus Aldridge,Chris Paul,Russell Westbrook
2,2015.0,3,DeAndre Jordan,Tim Duncan,Blake Griffin,Kyrie Irving,Klay Thompson
3,2014.0,1,Joakim Noah,LeBron James,Kevin Durant,James Harden,Chris Paul
4,2014.0,2,Dwight Howard,Blake Griffin,Kevin Love,Stephen Curry,Tony Parker
5,2014.0,3,Al Jefferson,LaMarcus Aldridge,Paul George,Damian Lillard,Goran Dragic
6,2013.0,1,Tim Duncan,LeBron James,Kevin Durant,Kobe Bryant,Chris Paul
7,2013.0,2,Marc Gasol,Blake Griffin,Carmelo Anthony,Russell Westbrook,Tony Parker
8,2013.0,3,Dwight Howard,David Lee,Paul George,James Harden,Dwyane Wade
9,2012.0,1,Dwight Howard,LeBron James,Kevin Durant,Kobe Bryant,Chris Paul
10,2012.0,2,Andrew Bynum,Kevin Love,Blake Griffin,Russell Westbrook,Tony Parker
11,2012.0,3,Tyson Chandler,Carmelo Anthony,Dirk Nowitzki,Dwyane Wade,Rajon Rondo
12,2011.0,1,Dwight Howard,Kevin Durant,LeBron James,Kobe Bryant,Derrick Rose
13,2011.0,2,Amar'e Stoudemire,Pau Gasol,Dirk Nowitzki,Dwyane Wade,Russell Westbrook
14,2011.0,3,Al Horford,LaMarcus Aldridge,Zach Randolph,Manu Ginobili,Chris Paul
15,2010.0,1,Dwight Howard,LeBron James,Kevin Durant,Kobe Bryant,Dwyane Wade
16,2010.0,2,Amar'e Stoudemire,Carmelo Anthony,Dirk Nowitzki,Steve Nash,Deron Williams
17,2010.0,3,Andrew Bogut,Tim Duncan,Pau Gasol,Brandon Roy,Joe Johnson
18,2009.0,1,Dwight Howard,LeBron James,Dirk Nowitzki,Dwyane Wade,Kobe Bryant
19,2009.0,2,Yao Ming,Tim Duncan,Paul Pierce,Chris Paul,Brandon Roy
20,2009.0,3,Shaquille O'Neal,Carmelo Anthony,Pau Gasol,Tony Parker,Chauncey Billups
21,2008.0,1,Dwight Howard,Kevin Garnett,LeBron James,Chris Paul,Kobe Bryant
22,2008.0,2,Amar'e Stoudemire,Tim Duncan,Dirk Nowitzki,Steve Nash,Deron Williams
23,2008.0,3,Yao Ming,Carlos Boozer,Paul Pierce,Manu Ginobili,Tracy McGrady
24,2007.0,1,Amar'e Stoudemire,Tim Duncan,Dirk Nowitzki,Kobe Bryant,Steve Nash
25,2007.0,2,Yao Ming,Chris Bosh,LeBron James,Gilbert Arenas,Tracy McGrady
26,2007.0,3,Dwight Howard,Kevin Garnett,Carmelo Anthony,Dwyane Wade,Chauncey Billups
27,2006.0,1,Shaquille O'Neal,LeBron James,Dirk Nowitzki,Steve Nash,Kobe Bryant
28,2006.0,2,Ben Wallace,Tim Duncan,Elton Brand,Dwyane Wade,Chauncey Billups
29,2006.0,3,Yao Ming,Shawn Marion,Carmelo Anthony,Gilbert Arenas,Allen Iverson
30,2005.0,1,Shaquille O'Neal,Tim Duncan,Dirk Nowitzki,Steve Nash,Allen Iverson
31,2005.0,2,Amar'e Stoudemire,Kevin Garnett,LeBron James,Ray Allen,Dwyane Wade
32,2005.0,3,Ben Wallace,Shawn Marion,Tracy McGrady,Kobe Bryant,Gilbert Arenas
33,2004.0,1,Shaquille O'Neal,Tim Duncan,Kevin Garnett,Kobe Bryant,Jason Kidd
34,2004.0,2,Ben Wallace,Peja Stojakovic,Jermaine O'Neal,Sam Cassell,Tracy McGrady
35,2004.0,3,Yao Ming,Dirk Nowitzki,Metta World,Michael Redd,Baron Davis
36,2003.0,1,Shaquille O'Neal,Kevin Garnett,Tim Duncan,Tracy McGrady,Kobe Bryant
37,2003.0,2,Ben Wallace,Dirk Nowitzki,Chris Webber,Allen Iverson,Jason Kidd
38,2003.0,3,Jermaine O'Neal,Jamal Mashburn,Paul Pierce,Stephon Marbury,Steve Nash
39,2002.0,1,Shaquille O'Neal,Tim Duncan,Tracy McGrady,Kobe Bryant,Jason Kidd
40,2002.0,2,Dirk Nowitzki,Kevin Garnett,Chris Webber,Allen Iverson,Gary Payton
41,2002.0,3,Dikembe Mutombo,Jermaine O'Neal,Ben Wallace,Paul Pierce,Steve Nash
42,2001.0,1,Shaquille O'Neal,Tim Duncan,Chris Webber,Jason Kidd,Allen Iverson
43,2001.0,2,Dikembe Mutombo,Kevin Garnett,Vince Carter,Kobe Bryant,Tracy McGrady
44,2001.0,3,David Robinson,Dirk Nowitzki,Karl Malone,Gary Payton,Ray Allen
45,2000.0,1,Shaquille O'Neal,Tim Duncan,Kevin Garnett,Jason Kidd,Gary Payton
46,2000.0,2,Alonzo Mourning,Karl Malone,Grant Hill,Kobe Bryant,Allen Iverson
47,2000.0,3,David Robinson,Chris Webber,Vince Carter,Stephon Marbury,Eddie Jones
48,1999.0,1,Alonzo Mourning,Karl Malone,Tim Duncan,Allen Iverson,Jason Kidd
49,1999.0,2,Shaquille O'Neal,Grant Hill,Chris Webber,Tim Hardaway,Gary Payton
50,1999.0,3,Hakeem Olajuwon,Antonio McDyess,Kevin Garnett,Kobe Bryant,John Stockton
51,1998.0,1,Shaquille O'Neal,Karl Malone,Tim Duncan,Michael Jordan,Gary Payton
52,1998.0,2,David Robinson,Grant Hill,Vin Baker,Rod Strickland,Tim Hardaway
53,1998.0,3,Dikembe Mutombo,Scottie Pippen,Glen Rice,Reggie Miller,Mitch Richmond
54,1997.0,1,Hakeem Olajuwon,Karl Malone,Grant Hill,Michael Jordan,Tim Hardaway
55,1997.0,2,Patrick Ewing,Scottie Pippen,Glen Rice,Gary Payton,Mitch Richmond
56,1997.0,3,Shaquille O'Neal,Anthony Mason,Vin Baker,John Stockton,Anfernee Hardaway
57,1996.0,1,David Robinson,Scottie Pippen,Karl Malone,Anfernee Hardaway,Michael Jordan
58,1996.0,2,Hakeem Olajuwon,Grant Hill,Shawn Kemp,John Stockton,Gary Payton
59,1996.0,3,Shaquille O'Neal,Charles Barkley,Juwan Howard,Reggie Miller,Mitch Richmond
60,1995.0,1,David Robinson,Scottie Pippen,Karl Malone,John Stockton,Anfernee Hardaway
61,1995.0,2,Shaquille O'Neal,Shawn Kemp,Charles Barkley,Gary Payton,Mitch Richmond
62,1995.0,3,Hakeem Olajuwon,Detlef Schrempf,Dennis Rodman,Reggie Miller,Clyde Drexler
63,1994.0,1,Hakeem Olajuwon,Scottie Pippen,Karl Malone,Latrell Sprewell,John Stockton
64,1994.0,2,David Robinson,Charles Barkley,Shawn Kemp,Mitch Richmond,Kevin Johnson
65,1994.0,3,Shaquille O'Neal,Derrick Coleman,Dominique Wilkins,Gary Payton,Mark Price
66,1993.0,1,Hakeem Olajuwon,Charles Barkley,Karl Malone,Michael Jordan,Mark Price
67,1993.0,2,Patrick Ewing,Dominique Wilkins,Larry Johnson,John Stockton,Joe Dumars
68,1993.0,3,David Robinson,Scottie Pippen,Derrick Coleman,Tim Hardaway,Drazen Petrovic
69,1992.0,1,David Robinson,Chris Mullin,Karl Malone,Michael Jordan,Clyde Drexler
70,1992.0,2,Patrick Ewing,Scottie Pippen,Charles Barkley,John Stockton,Tim Hardaway
71,1992.0,3,Brad Daugherty,Dennis Rodman,Kevin Willis,Mark Price,Kevin Johnson
72,1991.0,1,David Robinson,Karl Malone,Charles Barkley,Michael Jordan,Magic Johnson
73,1991.0,2,Patrick Ewing,Chris Mullin,Dominique Wilkins,Kevin Johnson,Clyde Drexler
74,1991.0,3,Hakeem Olajuwon,James Worthy,Bernard King,Joe Dumars,John Stockton
75,1990.0,1,Patrick Ewing,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
76,1990.0,2,Hakeem Olajuwon,Larry Bird,Tom Chambers,Kevin Johnson,John Stockton
77,1990.0,3,David Robinson,Chris Mullin,James Worthy,Clyde Drexler,Joe Dumars
